Line,Reason
2026-03-21T14:04:15.716Z - GET / 304 96.218 ms - -,Not /api/ endpoint
2026-03-21T14:04:17.940Z - GET /@react-refresh 304 10.900 ms - -,Not /api/ endpoint
2026-03-21T14:04:18.013Z - GET /@vite/client 200 89.889 ms - -,Not /api/ endpoint
2026-03-21T14:04:18.043Z - GET /src/main.tsx 304 113.647 ms - -,Not /api/ endpoint
2026-03-21T14:04:18.059Z - GET /node_modules/vite/dist/client/env.mjs 304 2.999 ms - -,Not /api/ endpoint
2026-03-21T14:04:18.278Z - GET /src/App.tsx 304 222.618 ms - -,Not /api/ endpoint
2026-03-21T14:04:18.879Z - GET /src/index.css 304 809.356 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.351Z - GET /src/context/AuthContext.tsx 304 1053.042 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.352Z - GET /src/components/Layout.tsx 304 103.257 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.353Z - GET /src/pages/MessDetails.tsx 304 102.248 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.381Z - GET /src/pages/Login.tsx 304 1081.833 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.381Z - GET /src/pages/Portfolio.tsx 304 22.894 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.401Z - GET /src/pages/Dashboard.tsx 304 153.331 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.402Z - GET /src/pages/Performance.tsx 304 42.510 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.418Z - GET /src/pages/Feedback.tsx 304 170.788 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.419Z - GET /src/pages/AuditLogs.tsx 304 57.156 ms - -,Not /api/ endpoint
2026-03-21T14:04:19.435Z - GET /src/pages/AdminStudents.tsx 304 0.359 ms - -,Not /api/ endpoint
2026-03-21T14:15:32.296Z - GET / 200 35.592 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.046Z - GET /@react-refresh 304 4.942 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.069Z - GET /@vite/client 200 28.550 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.077Z - GET /src/main.tsx 304 35.923 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.129Z - GET /src/App.tsx 304 7.556 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.145Z - GET /node_modules/vite/dist/client/env.mjs 304 0.094 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.280Z - GET /src/index.css 304 158.082 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.401Z - GET /src/components/Layout.tsx 304 13.185 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.432Z - GET /src/pages/Dashboard.tsx 304 8.415 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.438Z - GET /src/pages/Login.tsx 304 155.914 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.439Z - GET /src/context/AuthContext.tsx 304 156.922 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.442Z - GET /src/pages/MessDetails.tsx 304 0.061 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.455Z - GET /src/pages/Feedback.tsx 304 0.060 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.456Z - GET /src/pages/Portfolio.tsx 304 0.078 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.457Z - GET /src/pages/AuditLogs.tsx 304 0.067 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.465Z - GET /src/pages/Performance.tsx 304 0.061 ms - -,Not /api/ endpoint
2026-03-21T14:15:33.468Z - GET /src/pages/AdminStudents.tsx 304 0.109 ms - -,Not /api/ endpoint
2026-03-21T14:18:01.997Z - GET / 304 9.562 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.014Z - GET /@vite/client 304 0.553 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.019Z - GET /src/main.tsx 304 0.203 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.022Z - GET /@react-refresh 304 0.299 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.025Z - GET /src/App.tsx 304 0.251 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.027Z - GET /src/index.css 304 0.470 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.030Z - GET /node_modules/vite/dist/client/env.mjs 304 0.154 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.032Z - GET /src/context/AuthContext.tsx 304 0.114 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.036Z - GET /src/pages/Login.tsx 304 0.163 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.037Z - GET /src/components/Layout.tsx 304 0.170 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.039Z - GET /src/pages/Dashboard.tsx 304 0.088 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.040Z - GET /src/pages/MessDetails.tsx 304 0.096 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.042Z - GET /src/pages/Feedback.tsx 304 0.096 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.043Z - GET /src/pages/Portfolio.tsx 304 0.111 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.044Z - GET /src/pages/AuditLogs.tsx 304 0.090 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.045Z - GET /src/pages/Performance.tsx 304 0.065 ms - -,Not /api/ endpoint
2026-03-21T14:18:02.047Z - GET /src/pages/AdminStudents.tsx 304 0.132 ms - -,Not /api/ endpoint
